1/40,Cloister of Time and Souls - Atomos' Theme
1/41,Royal Wanderlust - Cait Sith's Theme
1/42,Snowdrift Waltz - Xarcabard [S]
1/43,Troubled Shadows - Castle Zvahl [S]
1/44,Where Lords Rule Not - Beastmen Stronghold
1/45,Summers Lost
1/46,Goddess Divine - Final Battle
1/54,Everlasting Bonds - Ending Theme
140,Vana'diel March #5
141,The Cosmic Wheel - West Sarutabaruta [S]
145,Encampment Dreams
180,Thunder of the March - Bastok Markets [S]
181,Griffons Never Die - South San d'Oria [S]
182,Stargazing - Windurust Waters [S]
215,Clash of Standards - Battle
216,On this Blade - Dungeon Battle
217,Kindred Cry - Boss Battle
246,March of the Allied Forces
247,Roar of the Battle Drums - Campaign Battle
248,Young Griffons in Flight
249,Run Maggot Run!
250,Under a Clouded Moon
251,Autumn Footfalls - East Ronfaure [S]
252,Flowers on the Battlefield - Rolanberry Fields [S]
253,Echoes of a Zephyr - North Gustaberg [S]
254,Griffons Never Die - South San d'Oria [S]
