@None
38/92,None

@Hand-to-Hand
39/34,Avengers
39/35,Darksteel Katars
39/36,Katars
39/37,Jamadhars
39/38,Exocets
39/39,Darksteel Claws
39/40,Claws
39/41,Mythril Claws
39/42,Cermet Claws
39/43,Cesti
39/44,Lizard Cesti
39/45,Poison Cesti
39/46,Darksteel Knuckles
39/47,Bronze Knuckles
39/48,Brass Knuckles
39/49,Metal Knuckles
39/50,Mythril Knuckles
39/51,Koenigs Knuckles
39/52,Diamond Knuckles
39/53,Manoples
39/54,Gold Patas
39/55,Patas
39/56,Bone Patas
39/57,Cat Baghnakhs
39/58,Brass Baghnakhs
39/59,Baghnakhs
39/60,Rune Baghnakhs
137/83,Spharai
273/85, Spharai (99)
149/31,Adargas
166/23,Sainti
169/115,Darksteel Sainti
171/62,Adaman Sainti
172/15,Black Adargas
173/69,Hades Sainti
204/125,Glanzfaust
273/84,Glanzfaust (99)
204/126,Kenkonken
273/83,Kenkonken (99)
210/37,Shenlong's Baghnakhs
241/124,Verethragna
273/82,Verethragna (99)
245/58,Afflictors
268/54,Girru
280/110,Unknown H2H

@Dagger
39/74,Valiant Knife
39/75,Darksteel Knife
39/76,Bronze Knife
39/77,Knife
39/78,Mythril Knife
39/79,Cermet Knife
39/80,Misericorde
39/81,Bronze Dagger
39/82,Brass Dagger
39/83,Dagger
39/84,Mythril Dagger
39/85,Dst. Baselard
39/86,Baselard
39/87,Mythril Baselard
39/88,Darksteel Kukri
39/89,Kukri
39/90,Mythril Kukri
39/91,Cermet Kukri
39/92,Heart Snatcher
39/93,Parrying Knife
39/94,Combat Caster's Dagger
39/95,Kris
39/96,Triple Dagger
39/97,Bone Knife
98/116,Kard
137/69,Mandau
274/82,Mandau (99)
137/81,Unknown Dagger 1
147/124,Harpe
163/111,Jambiya
172/14,Supernal Knife
173/28,Matron's Knife
175/7,Khimaira Jambiya
200/3,Darksteel Jambiya
200/4,Thug's Jambiya
204/117,Vajra
274/97,Vajra (99)
204/122,Carnwenhan
274/101,Carnwenhan (99)
204/123,Terpsichore
274/107,Terpsichore (99)
210/26,Azoth
219/20,Ermine's Tail
227/3,Machismo
245/56,Twashtar
274/109,Twashtar (99)
245/120,Auric Dagger
262/5,Twilight Dagger
264/98,Mantodea Harpe
266/13,Lux Pugio
266/76,Coruscanti
269/45,Asteria
280/18,Unknown Dagger 2
281/35,Unknown Dagger 3

@Sword
