@None
57/120,None

@Hand-to-Hand
58/62,Avengers
58/63,Darksteel Katars
58/64,Katars
58/65,Jamadhars
58/66,Exocets
58/67,Darksteel Claws
58/68,Claws
58/69,Mythril Claws
58/70,Cermet Claws
58/71,Cesti
58/72,Lizard Cesti
58/73,Poison Cesti
58/74,Darksteel Knuckles
58/75,Bronze Knuckles
58/76,Brass Knuckles
58/77,Metal Knuckles
58/78,Mythril Knuckles
58/79,Koenigs Knuckles
58/80,Diamond Knuckles
58/81,Manoples
58/82,Gold Patas
58/83,Patas
58/84,Bone Patas
58/85,Cat Baghnakhs
58/86,Brass Baghnakhs
58/87,Baghnakhs
58/88,Rune Baghnakhs
139/24,Spharai
274/5,Spharai (99)
149/79,Adargas
166/87,Sainti
169/127,Darksteel Sainti
171/86,Adaman Sainti
172/39,Black Adargas
173/73,Hades Sainti
205/81,Glanzfaust
274/4,Glanzfaust (99)
205/82,Kenkonken
274/3,Kenkonken (99)
210/93,Shenlong's Baghnakhs
242/16,Verethragna
274/2,Verethragna (99)
245/74,Afflictors
268/58,Girru
281/18,Unknown H2H

@Dagger
58/102,Valiant Knife
58/103,Darksteel Knife
58/104,Bronze Knife
58/105,Knife
58/106,Mythril Knife
58/107,Cermet Knife
58/108,Misericorde
58/109,Bronze Dagger
58/110,Brass Dagger
58/111,Dagger
58/112,Mythril Dagger
58/113,Darksteel Baselard
58/114,Baselard
58/115,Mythril Baselard
58/116,Darksteel Kukri
58/117,Kukri
58/118,Mythril Kukri
58/119,Cermet Kukri
58/120,Heart Snatcher
58/121,Parrying Knife
58/122,Combat Caster's Dagger
58/123,Kris
58/124,Triple Dagger
58/125,Bone Knife
99/116,Kard
139/10,Mandau
275/106,Mandau (99)
139/22,Unknown Dagger 1
148/0,Harpe
164/22,Jambiya
172/38,Supernal Knife
173/32,Matron's Knife
175/15,Khimaira Jambiya
200/35,Darksteel Jambiya
200/36,Thug's Jambiya
205/73,Vajra
275/121,Vajra (99)
205/78,Carnwenhan
275/125,Carnwenhan (99)
205/79,Terpsichore
276/3,Terpsichore (99)
210/82,Azoth
219/36,Ermine's Tail
227/27,Machismo
245/72,Twashtar
276/5,Twashtar (99)
246/24,Auric Dagger
262/9,Twilight Dagger
264/118,Mantodea Harpe
266/41,Lux Pugio
266/80,Coruscanti
269/49,Asteria
280/22,Unknown Dagger 2
281/51,Unknown Dagger 3

@Sword
58/126,Colichemarde
58/127,Small Sword
59/0,Bilbo
59/1,Junior Musketeer's Tuck
59/2,Joyeuse
59/3,Schlaeger
59/4,Duel Rapier
59/5,Degen
59/6,Mythril Degen
59/7,Epee
59/8,Fleuret
59/9,Schwert
59/10,Royal Guard's Fleuret
59/66,Spatha
59/67,Gold Sword
59/68,Longsword
59/69,Knight's Sword
59/70,Saber
59/71,Rune Blade
59/72,Sapara
59/73,Scimitar
59/74,Tulwar
59/75,Hanger
59/76,Ridill
59/77,Darksteel Falchion
59/78,Platinum Cutlass
59/79,Falchion
59/80,Cutlass
59/81,Xiphos
59/82,Brass Xiphos
59/83,Gladius
59/84,Darksteel Sword
59/85,Bronze Sword
59/86,Jagdplaute
59/87,Iron Sword
59/88,Mythril Sword
59/89,Dainslaif
59/90,Cermet Sword
59/91,Anelace
59/92,Katzbalger
59/93,Broadsword
59/94,Coral Sword
59/95,Hrotti
59/96,Bastard Sword
59/97,Hunting Sword
59/98,Espadon
59/99,Nadrs
59/100,Ancient Sword
59/101,Kaiser Sword
59/102,Dissector
59/103,Holy Sword
59/104,Gluttony Sword
59/105,Wing Sword
122/21,Excalibur
275/107,Excalibur (99)
150/99,Shotel
163/85,Kilij
164/116,Macuahuitl
169/126,Darksteel Kilij
170/123,Adaman Kilij
171/85,Sanguine Sword
175/16,Hauteclaire
183/93,Cermet Kilij
184/94,Hofud
205/69,Unknown Sword
205/70,Tizona
276/2,Tizona (99)
205/71,Murgleis
275/120,Murlgis (99)
205/77,Burtgang
275/122,Burtgang (99)
210/83,Fragarach
211/85,Organics
227/28,Concordia
242/13,Almace
276/6,Almace (99)
246/25,Tyrfing
263/104,Sagasinger
266/103,Ephemeron
279/63,Sanus Ensis
279/65,Ark Saber
279/66,Ark Sword

@Club
58/8,Unknown Club 1
58/45,Oak Cudgel
58/46,Bone Cudgel
58/47,Buzdygan
58/48,Darksteel Mace
58/49,Bronze Mace
58/50,Platinum Mace
58/51,Mace
58/52,Mythril Mace
58/53,Ash Club
58/54,Chestnut Club
58/55,Shellbuster
58/56,Great Club
58/57,Darksteel Maul
58/58,Bronze Hammer
58/59,Brass Hammer
58/60,Warhammer
58/61,Maul
59/35,Scepter
59/36,Darksteel Rod
59/37,Bronze Rod
59/38,Brass Rod
59/39,Rod
59/40,Mythril Rod
59/41,Bone Rod
59/42,Ebony Wand
59/43,Yew Wand
59/44,Maple Wand
59/45,Mythic Wand
59/46,Mistilteinn
59/47,Rose Wand
59/48,Chestnut Wand
59/49,Willow Wand
59/50,Caduceus
59/51,Unknown Club 2
59/52,Unknown Club 3
59/53,Chocobo Wand
59/54,Unknown Club 4
59/55,Unknown Club 5
59/56,Unknown Club 6
59/57,Star Rod
59/58,Asklepios
59/59,Curse Wand
59/60,Skirnir's Wand
59/61,Earth Wand
59/62,Imperial Wand
59/63,Unknown Club 7
59/64,Unknown Club 8
59/65,Fey Wand
59/124,Mjollnir
275/115,Mjollnir (99)
139/12,Rune Rod
139/19,Unknown Club 9
149/72,Morgenstern
150/100,Seveneyes
159/98,Charm Wand
160/119,Moogle Rod
164/23,Jadagna
170/33,Nomad Moogle Rod
183/92,Brass Jadagna
205/66,Yagrush
275/118,Yagrush (99)
210/89,Antares
211/86,Flanged Mace
218/30,Dream Bell
220/30,Club Hammer
220/127,Lady Bell
242/51,Gambanteinn
276/14,Gambanteinn (99)
246/31,Owleyes
264/117,Tefnut Wand
266/55,Rounsey Wand
267/42,Maestro's Baton
267/43,Melomane Mallet
280/64,Unknown Club 10
281/53,Unknown Club 11
286/56,Shell Scepter
286/57,Gobbie Gavel

@Axe
58/21,Bronze Axe
58/22,Brass Axe
58/23,Battleaxe
58/24,Mythril Axe
58/25,Bone Axe
58/26,Tabarzin
58/27,Darksteel Tabar
58/28,Tabar
58/29,Darksteel Axe
58/30,Rune Axe
58/31,Nadziak
58/32,Darksteel Pick
58/33,War Pick
58/34,Mythril Pick
58/35,Bone Pick
58/36,Orcish Axe
139/23,Guttler
275/109,Guttler (99)
145/68,Tomahawk
171/82,Sirius Axe
205/64,Aymur
275/124,Aymur (99)
210/85,Labrys
245/73,Farsha
276/8,Farsha (99)
246/26,Glyph Axe
264/116,Tonatiuh Axe
279/68,Ark Tabar
279/115,Aytanri
281/54,Unknown Axe

@Katana
99/109,Fudo
99/110,Wakizashi
99/111,Kodachi
99/112,Sakurafubuki
99/113,Kabutowari
99/114,Ganko
99/115,Kunai
139/20,Kikoku
275/113,Kikoku (99)
152/13,Sai
158/64,Hirenjaku
171/84,Ryumon
172/37,Hayabusa
205/72,Nagi
275/127,Nagi (99)
210/91,Shusui
211/87,Oninohocho
247/39,Kannagi
276/12,Kannagi (99)
246/29,Hochomasamune
279/70,Ikarigiri

@G. Sword
58/9,Reserve Captain's Greatsword
58/10,Darksteel Claymore
58/11,Claymore
58/12,Mythril Claymore
58/13,Glorious Sword
58/14,Arondight
58/15,Zweihander
58/16,Two-Handed Sword
58/17,Greatsword
58/18,Ascalon
58/19,Flamberge
58/20,Faussar
122/19,Unknown GS 1
122/20,Ragnarok
275/108,Ragnarok (99)
122/22,Balmung
145/67,Falx
149/74,Darksteel Falx
149/75,Scheherazade
164/20,Algol
170/125,Gold Algol
200/33,Bahadur
210/84,Naglering
229/97,Galatyn
239/12,Nightfall
242/14,Caladbolg
276/7,Caladbolg (99)
249/44,Ferus Algol
264/114,Jingang Greatsword
270/55,Hoarfrost Blade
270/62,Borealis
281/52,Unknown GS 2

@Staff
59/106,Elm Staff
59/107,Holly Staff
59/108,Oak Staff
59/109,Ash Staff
59/110,Mahogany Staff
59/111,Legionnaire's Staff
59/112,Wise Wizard's Staff
59/113,Spiked Club
59/114,Rockmasher
59/115,Ebony Pole
59/116,Elm Pole
59/117,Holly Pole
59/118,Oak Pole
59/119,Ash Pole
59/120,Mythic Pole
59/121,Mahogany Pole
59/122,Rune Staff
59/123,Monster Signa
127/121,Dark Staff
127/122,Water Staff
127/123,Wind Staff
127/124,Ice Staff
127/125,Thunder Staff
127/126,Fire Staff
127/127,Light Staff
128/0,Earth Staff
128/1,Trick Staff
139/17,Iron-splitter
139/18,Claustrum
275/116,Claustrum (99)
148/61,Kingdom Signet Staff
148/62,Federation Signet Staff
148/63,Republic Signet Staff
149/73,Primate Staff
205/67,Laevateinn
275/119,Laevateinn (99)
205/68,Nirvana
276/1,Nirvana (99)
205/80,Tupsimati
276/4,Tupsimati (99)
210/90,Alkalurops
211/81,Mekki Shakki
211/82,Dorje
220/31,Caver's Shovel
227/26,B. Shantotto's Staff
227/30,Majestas
242/52,Hvergelmir
276/15,Hvergelmir (99)
264/115,Fulcrum Pole
279/64,Plenitas Virga
282/115,Iridal Staff

@G. Axe
58/37,Centurion's Axe
58/38,Heavy Axe
58/39,Butterfly Axe
58/40,Greataxe
58/41,Bhuj
58/42,Kheten
58/43,Gigant Axe
58/44,Unknown GA
139/11,Rune Chopper
139/15,Bravura
275/110,Bravura (99)
145/63,Voulge
149/76,Darksteel Voulge
149/77,Leucous Voulge
164/19,Amood
170/124,Dark Amood
200/32,Wootz Amood
205/65,Conqueror
275/117,Conqueror (99)
