@None
33/124,None

@Hand-to-Hand
34/66,Avengers
34/67,Darksteel Katars
34/68,Katars
34/69,Jamadhars
34/70,Exocets
34/71,Darksteel Claws
34/72,Claws
34/73,Mythril Claws
34/74,Cermet Claws
34/75,Cesti
34/76,Lizard Cesti
34/77,Poison Cesti
34/78,Darksteel Knuckles
34/79,Bronze Knuckles
34/80,Brass Knuckles
34/81,Metal Knuckles
34/82,Mythril Knuckles
34/83,Koenigs Knuckles
34/84,Diamond Knuckles
34/85,Manoples
34/86,Gold Patas
34/87,Patas
34/88,Bone Patas
34/89,Cat Baghnakhs
34/90,Brass Baghnakhs
34/91,Baghnakhs
34/92,Rune Baghnakhs
137/35,Spharai
273/73,Spharai (99)
149/19,Adargas
166/7,Sainti
169/112,Darksteel Sainti
171/56,Adaman Sainti
172/9,Black Adargas
173/68,Hades Sainti
204/104,Glanzfaust
273/72,Glanzfaust (99)
204/105,Kenkonken
273/71,Kenkonken (99)
210/23,Shenlong's Baghnakhs
241/119,Verethragna
273/70,Verethragna (99)
245/54,Afflictors
268/53,Girru
280/101,Unknown H2H

@Dagger
34/106,Valiant Knife
34/107,Darksteel Knife
34/108,Bronze Knife
34/109,Knife
34/110,Mythril Knife
34/111,Cermet Knife
34/112,Misericorde
34/113,Bronze Dagger
34/114,Brass Dagger
34/115,Dagger
34/116,Mythril Dagger
34/117,Darksteel Baselard
34/118,Baselard
34/119,Mythril Baselard
34/120,Darksteel Kukri
34/121,Kukri
34/122,Mythril Kukri
34/123,Cermet Kukri
34/124,Heart Snatcher
34/125,Parrying Knife
34/126,Combat Caster's Dagger
34/127,Kris
35/0,Triple Dagger
35/1,Bone Knife
98/85,Kard
137/21,Mandau
274/44,Mandau (99)
137/33,Unknown Dagger 1
147/123,Harpe
163/105,Jambiya
172/8,Supernal Knife
173/27,Matron's Knife
175/5,Khimaira Jambiya
199/123,Darksteel Jambiya
199/124,Thug's Jambiya
204/96,Vajra
274/59,Vajra (99)
204/101,Carnwenhan
274/63,Carnwenhan (99)
204/102,Terpsichore
274/69,Terpsichore (99)
210/12,Azoth
219/16,Ermine's Tail
226/125,Machismo
245/52,Twashtar
274/71,Twashtar (99)
245/112,Auric Dagger
262/4,Twilight Dagger
264/93,Mantodea Harpe
266/6,Lux Pugio
266/75,Coruscanti
269/44,Asteria
280/17,Unknown Dagger 2
281/31,Unknown Dagger 3

@Sword
35/2,Colichemarde
35/3,Small Sword
35/4,Bilbo
35/5,Junior Musketeer's Tuck
35/6,Joyeuse
35/7,Schlaeger
35/8,Duel Rapier
35/9,Degen
35/10,Mythril Degen
35/11,Epee
35/12,Fleuret
35/13,Schwert
35/14,Royal Guard's Fleuret
35/70,Spatha
35/71,Gold Sword
35/72,Longsword
35/73,Knight's Sword
35/74,Saber
35/75,Rune Blade
35/76,Sapara
35/77,Scimitar
35/78,Tulwar
35/79,Hanger
35/80,Ridill
35/81,Darksteel Falchion
35/82,Platinum Cutlass
35/83,Falchion
35/84,Cutlass
35/85,Xiphos
35/86,Brass Xiphos
35/87,Gladius
35/88,Darksteel Sword
35/89,Bronze Sword
35/90,Jagdplaute
35/91,Iron Sword
35/92,Mythril Sword
35/93,Dainslaif
35/94,Cermet Sword
35/95,Anelace
35/96,Katzbalger
35/97,Broadsword
35/98,Coral Sword
35/99,Hrotti
35/100,Bastard Sword
