@None
55/27,None

@Shield
55/28,Unknown Shield 1
55/29,Unknown Shield 2
55/30,Ritter Shield
55/31,Unknown Shield 3
55/32,Kite Shield
55/33,Heater Shield
55/34,Royal Knight Army Shield
55/35,Temple Knight Army Shield
55/36,Royal Guard's Shield
55/37,Darksteel Shield
55/38,Shell Shield
55/39,Tatami Shield
55/40,Scutum
55/41,Tower Shield
55/42,Faerie Shield
55/43,Maple Shield
55/44,Lauan Shield
55/45,Oak Shield
55/46,Elm Shield
55/47,Mahogany Shield
55/48,Aspis
55/49,Gold Buckler
55/50,Targe
55/51,Buckler
55/52,Darksteel Buckler
55/53,Frost Shield
122/81,General's Shield
122/82,Koenig Shield
130/62,Acheron Shield
155/87,Aegis
274/34,Aegis (99)
155/101,Unknown Shield 4
165/4,Tariqah
165/5,Januwiyah
215/120,Moogle Shield 
215/121,Nomad Shield
245/96,Seigneur Shield
261/99,Ochain
274/35,Ochain (99)
278/127,Adamas
284/12,Mandraguard

@Hand-to-Hand
55/54,Avengers
55/55,Darksteel Katars
55/56,Katars
55/57,Jamadhars
55/58,Exocets
55/59,Darksteel Claws
55/60,Claws
55/61,Mythril Claws
55/62,Cermet Claws
55/63,Cesti
55/64,Lizard Cesti
55/65,Poison Cesti
55/66,Darksteel Knuckles
55/67,Bronze Knuckles
55/68,Brass Knuckles
55/69,Metal Knuckles
55/70,Mythril Knuckles
55/71,Koenigs Knuckles
55/72,Diamond Knuckles
55/73,Manoples
55/74,Gold Patas
55/75,Patas
55/76,Bone Patas
55/77,Cat Baghnakhs
55/78,Brass Baghnakhs
55/79,Baghnakhs
55/80,Rune Baghnakhs
142/54,Spharai
274/38,Spharai (99)
149/91,Adargas
166/93,Sainti
170/12,Darksteel Sainti
171/119,Adaman Sainti
172/57,Black Adargas
173/79,Hades Sainti
206/16,Glanzfaust
274/37,Glanzfaust (99)
206/17,Kenkonken
280/13,Kenkonken (99)
211/2,Shenlong's Baghnakhs
242/29,Verethragna
274/36,Verethragna (99)
245/99,Afflictors
269/41,Girru
281/25,Unknown H2H

@Dagger
115/119,Valiant Knife
115/120,Darksteel Knife
